XNAME,FULLNAME,COND,FIRST,LAST,G,S,H,A,B,C,D,E,F,Table2_NAME,Table2_FORMULA,Table2_Mineral_Name,molar_volume(cm^3/mol),molar_volume(J/bar),Table2_Quelle,Table2_Bemerkungen
SiP,[],(C),298.15,2000,-62352.81763,32.6313955,-61906.8104,42.87575,0.0108758,-564704,0,0,0,SiP, SiP,,28.44452801,2.844452801,Materialsproject,
SiCo2O4,[],(C),298.15,1690,-1337915.243,158.5491743,-1406320.982,157.36446,0.02204441,-2668754,0,0,0,,,,,,,
SiS2,[],(C),298.15,1363,-286038.3721,76.86619484,-286998.1528,53.407,0.027581,0,0,0,0,SiS2, SiS2,,57.09621765,5.709621765,Materialsproject,
SiCr3,[],(L),298.15,5000,-60907.81206,24.53666085,-108988.6156,180,0,0,0,0,0,,,,,,,
SiS,[],(C),298.15,1363,-171115.6246,63.00452277,-168875.6505,40.52,0.015026,0,0,0,0,SiS, SiS,,95.47619048,9.547619048,,
Si,[],(C),298.15,1690,0.647220926,18.81199048,0.593510483,23.698,0.003305,-435100,0,0,0,Si, Si,,12.0585841,1.20585841,Webmineral,
Si3Cr5,[],(L),298.15,5000,-12332.51065,148.806141,-173031.578,330,0,0,0,0,0,,,,,,,
Si3Ti5_1,[],(C),298.15,2403,-575042.706,184.5180906,-579994.6055,120.697,0.14604,1401100,0,0,0,Si3Ti5, Si3Ti5,,74.64292919,7.464292919,Materialsproject,
Si3Ti5_2,[],(C),298.15,2403,-615051.2678,217.9531304,-578921.3854,196.39185,0.0447581,-2007840,0,0,0,Si3Ti5, Si3Ti5,,74.64292919,7.464292919,Materialsproject,
SiTi_1,[],(C),298.15,1843,-129681.3457,49.00371946,-129998.8903,51.912,0.008772,-1558100,0,0,0,SiTi, SiTi,,17.97985401,1.797985401,Materialsproject,
SiTi_2,[],(C),298.15,1843,-137537.6101,48.9456672,-129671.6382,48.1045,0.01141959,-543790,0,0,0,SiTi, SiTi,,17.97985401,1.797985401,Materialsproject,
SiTi_3,[],(C),298.15,1843,-137567.2624,48.95231494,-129699.3094,64.55333915,1.26545E-05,-3695092,0,-6.44757E-09,0,SiTi, SiTi,,17.97985401,1.797985401,Materialsproject,
SiCr,[],(L),298.15,5000,9282.899687,44.54357262,-30732.6015,80,0,0,0,0,0,,,,,,,
Si2Ti_1,[],(C),298.15,1773,-133078.6194,55.00517346,-134998.4563,85.392,-0.008366,-2883400,0,1.1237E-05,0,Si2Ti, Si2Ti,Zhiqinit,25.58235506,2.558235506,Materialsproject,data from Materialsproject
Si2Ti_2,[],(C),298.15,1773,-143363.8533,61.0783878,-134272.0358,70.39989,0.0175686,-903528,0,0,0,Si2Ti, Si2Ti,Zhiqinit,25.58235506,2.558235506,Materialsproject,data from Materialsproject
Si2Ti_3,[],(C),298.15,1773,-143405.2833,61.09517494,-134308.4583,62.51479734,0.034803859,-1904092,0,2.39307E-09,0,Si2Ti, Si2Ti,Zhiqinit,25.58235506,2.558235506,Materialsproject,data from Materialsproject
SiZr2,[],(C),298.15,2380,-223654.4619,100.39892,-208310.9367,72.3659,0.01100129,-610718,0,0,0,SiZr2, SiZr2,,35.25300979,3.525300979,Materialsproject,
Si2Cr,[],(L),298.15,5000,98679.67165,88.83552726,3684.9103,105,0,0,0,0,0,,,,,,,
Si3Zr5,[],(C),298.15,2443,-616355.6603,263.1289416,-575575.561,189.0716,0.03074505,-1505880,0,0,0,Si3Zr5, Si3Zr5,,93.79845562,9.379845562,Materialsproject,
SiZr,[],(C),298.15,2380,-163615.5801,58.14816723,-154769.6697,45.1764,0.0087843,-296992,0,0,0,SiZr, SiZr,,21.48278273,2.148278273,Materialsproject,
SiFH,[],(G),298.15,6000,-191135.8596,238.5665641,-173659.5701,30.46331787,0.037746008,-205332,0,-2.00354E-05,5.27078E-09,,,,,,,
